ticker,tradedate,orhv10d,orhv20d,orhv60d,orhv120d,orhv252d
SPY,2020-04-20,43.56,53.79,52.98,37.81,27.88
SPY,2020-04-17,44.22,55.06,52.85,37.71,27.82
SPY,2020-04-16,48.97,58.46,52.82,37.69,27.81
SPY,2020-04-15,48.59,60.69,52.62,37.56,27.72
SPY,2020-04-14,48.82,66.72,52.35,37.37,27.6
SPY,2020-04-13,50.52,71.81,52.28,37.32,27.57
SPY,2020-04-09,55.21,77.19,52.19,37.26,27.53
SPY,2020-04-08,56.71,77.57,51.79,36.97,27.34
SPY,2020-04-07,62.67,78.69,51.57,36.83,27.24
SPY,2020-04-06,57.98,78.28,50.16,35.85,26.61
SPY,2020-04-03,62.36,78.24,49.99,35.74,26.52
SPY,2020-04-02,64.1,78.34,49.75,35.59,26.42
SPY,2020-04-01,66.61,77.72,48.99,35.06,26.07
SPY,2020-03-31,70.75,78.57,48.85,34.99,26.01
SPY,2020-03-30,80.75,79.14,48.53,34.76,25.86
SPY,2020-03-27,88.1,78.97,48.17,34.54,25.7
SPY,2020-03-26,94.17,77.84,47.21,33.92,25.29
SMH,2020-04-20,51.84,60.31,63.46,46.24,36.58
SMH,2020-04-17,53.26,63.16,63.41,46.26,36.57
SMH,2020-04-16,56.71,68.94,63.27,46.2,36.55
SMH,2020-04-15,57.6,73.93,63.15,46.13,36.51
SMH,2020-04-14,57.87,83.4,62.91,45.98,36.41
SMH,2020-04-13,58.99,87.36,62.6,45.77,36.26
SMH,2020-04-09,60.82,91.28,62.2,45.52,36.11
SMH,2020-04-08,62.49,92.26,61.97,45.38,36.01
SMH,2020-04-07,69.18,93.53,61.81,45.31,35.93
SMH,2020-04-06,64.54,93.13,60.36,44.3,35.33
SMH,2020-04-03,67.74,92.95,60.12,44.19,35.23
SMH,2020-04-02,71.7,92.91,59.89,44.02,35.16
SMH,2020-04-01,79.31,92.61,59.23,43.59,34.88
SMH,2020-03-31,87.25,93.17,59.01,43.51,34.81
SMH,2020-03-30,102.78,93.39,58.75,43.28,34.69
SMH,2020-03-27,108.55,93.43,58.18,42.94,34.47
SMH,2020-03-26,113.86,92.89,57.45,42.51,34.21
RSX,2020-04-20,44.15,52.08,65.97,47.51,34.24
RSX,2020-04-17,50.11,62.53,65.84,47.43,34.18
RSX,2020-04-16,50.05,74.53,65.73,47.36,34.14
RSX,2020-04-15,46.87,75.11,65.18,46.97,33.88
RSX,2020-04-14,46.78,83.29,65.11,46.91,33.85
RSX,2020-04-13,48.5,87.51,64.74,46.66,33.69
RSX,2020-04-09,47.23,92.06,64.45,46.42,33.54
RSX,2020-04-08,52.01,93.29,64.28,46.28,33.43
RSX,2020-04-07,57.24,95.95,64.12,46.18,33.37
RSX,2020-04-06,56.81,104.78,63.77,45.96,33.22
RSX,2020-04-03,58.96,104.72,63.74,45.9,33.17
RSX,2020-04-02,72.85,103.83,62.86,45.32,32.78
RSX,2020-04-01,92.76,103.9,62.78,45.24,32.73
RSX,2020-03-31,95.32,104.09,62.64,45.11,32.67
RSX,2020-03-30,108.11,104.23,62.69,45.06,32.67
RSX,2020-03-27,113.86,103.8,62.08,44.64,32.39
RSX,2020-03-26,121.32,103.85,61.91,44.51,32.32
QQQ,2020-04-20,37.82,48.4,51.5,37.2,28.45
QQQ,2020-04-17,40.43,50.21,51.42,37.16,28.41
QQQ,2020-04-16,43.08,52.55,51.31,37.08,28.36
QQQ,2020-04-15,43.52,56.74,51.23,37.04,28.33
QQQ,2020-04-14,43.18,63.6,50.85,36.78,28.16
QQQ,2020-04-13,44.88,68.22,50.78,36.76,28.13
QQQ,2020-04-09,49.27,72.89,50.72,36.72,28.1
QQQ,2020-04-08,50.76,73.68,50.59,36.61,28.04
QQQ,2020-04-07,55.47,75.07,50.44,36.53,27.97
QQQ,2020-04-06,52.37,75.26,49.45,35.84,27.54
QQQ,2020-04-03,57.06,75.26,49.3,35.74,27.47
QQQ,2020-04-02,58.38,74.96,48.87,35.46,27.29
QQQ,2020-04-01,60.56,74.8,48.41,35.13,27.08
QQQ,2020-03-31,67.41,75.75,48.27,35.06,27.02
QQQ,2020-03-30,78.9,76.57,47.96,34.82,26.87
QQQ,2020-03-27,85.4,76.52,47.63,34.62,26.73
QQQ,2020-03-26,90.54,77.16,46.86,34.14,26.42
IWM,2020-04-20,52.43,62.55,60.48,43.45,32.62
IWM,2020-04-17,53.02,66.5,60.2,43.25,32.52
IWM,2020-04-16,57.82,71.8,60.08,43.15,32.45
IWM,2020-04-15,56.87,74.35,59.77,42.93,32.32
IWM,2020-04-14,57.49,82.37,59.64,42.84,32.25
IWM,2020-04-13,58.56,85.18,59.39,42.67,32.14
IWM,2020-04-09,61.49,89.34,59.06,42.43,31.99
IWM,2020-04-08,62.03,90.27,58.49,42.02,31.75
IWM,2020-04-07,70.79,90.44,58.12,41.79,31.59
IWM,2020-04-06,69.02,91.81,57.21,41.17,31.2
IWM,2020-04-03,71.25,91.35,56.76,40.95,31.0
IWM,2020-04-02,77.67,91.41,56.36,40.68,30.83
IWM,2020-04-01,83.47,90.02,55.44,40.03,30.42
IWM,2020-03-31,88.45,90.47,55.26,39.94,30.35
IWM,2020-03-30,101.31,90.6,55.02,39.76,30.24
IWM,2020-03-27,105.27,90.08,54.55,39.46,30.05
IWM,2020-03-26,110.36,89.44,53.62,38.85,29.66
IGV,2020-04-20,41.4,50.61,55.64,40.4,31.82
IGV,2020-04-17,41.86,53.29,55.57,40.41,31.81
IGV,2020-04-16,45.23,58.31,55.51,40.39,31.8
IGV,2020-04-15,46.13,63.32,55.43,40.44,31.77
