ticker,tradedate,dlt5iv10d,dlt25iv10d,iv10d,dlt75iv10d,dlt95iv10d
SPY,2020-04-20,29.07,34.44,38.98,44.23,55.86
SPY,2020-04-17,26.37,27.84,31.96,37.15,44.5
SPY,2020-04-16,28.93,32.66,37.46,42.96,54.14
SPY,2020-04-15,31.22,33.55,38.17,44.69,51.27
SPY,2020-04-14,29.99,32.14,34.54,40.35,51.15
SPY,2020-04-13,31.32,33.47,38.89,44.53,52.08
SPY,2020-04-09,31.77,34.18,38.97,44.0,53.8
SPY,2020-04-08,32.3,35.05,40.59,47.43,61.42
SPY,2020-04-07,34.89,37.82,42.68,49.6,64.04
SPY,2020-04-06,31.33,35.49,39.33,45.88,62.7
SPY,2020-04-03,35.39,38.37,45.03,49.77,58.6
SPY,2020-04-02,37.48,40.73,48.59,56.76,66.78
SPY,2020-04-01,44.92,50.35,59.64,68.26,78.89
SPY,2020-03-31,38.68,43.97,53.05,63.91,91.93
SPY,2020-03-30,44.26,48.03,56.11,67.6,86.18
SPY,2020-03-27,50.51,56.41,65.69,75.47,90.12
SPY,2020-03-26,52.23,57.67,68.1,82.33,103.84
SMH,2020-04-20,45.9,51.22,54.58,62.12,78.82
SMH,2020-04-17,38.77,44.33,48.26,52.85,71.84
SMH,2020-04-16,43.86,46.3,50.79,57.66,66.19
SMH,2020-04-15,44.95,46.66,50.99,57.76,64.93
SMH,2020-04-14,38.81,42.51,45.99,52.4,65.99
SMH,2020-04-13,43.33,48.41,53.28,60.69,75.68
SMH,2020-04-09,42.17,47.45,52.86,59.51,71.2
SMH,2020-04-08,39.84,43.49,49.23,55.58,67.67
SMH,2020-04-07,42.03,46.45,51.18,58.02,71.25
SMH,2020-04-06,37.04,41.18,47.63,55.09,64.35
SMH,2020-04-03,44.43,49.06,55.53,63.08,73.09
SMH,2020-04-02,46.28,52.68,59.84,68.09,79.43
SMH,2020-04-01,54.0,61.83,70.72,80.4,93.93
SMH,2020-03-31,46.71,55.2,63.24,72.18,86.04
SMH,2020-03-30,51.59,59.44,68.47,77.81,92.61
SMH,2020-03-27,59.04,67.83,78.94,90.11,103.07
SMH,2020-03-26,57.58,66.16,76.75,88.09,101.11
RSX,2020-04-20,49.21,51.88,56.0,62.76,73.11
RSX,2020-04-17,41.77,44.62,48.06,51.79,55.9
RSX,2020-04-16,45.76,48.59,52.8,58.09,63.8
RSX,2020-04-15,49.14,50.44,54.07,61.78,73.42
RSX,2020-04-14,43.29,44.03,49.56,60.2,72.39
RSX,2020-04-13,46.43,47.51,50.04,53.95,58.26
RSX,2020-04-09,46.37,48.06,51.43,58.3,69.51
RSX,2020-04-08,44.09,48.49,53.56,61.64,73.95
